source,number,sourceType,topic,answer,explanation_status
M114 呼吸系統區段考,1,校內考古題,呼吸組織,B,v21非國考逐題詳解
M114 呼吸系統區段考,2,校內考古題,呼吸組織,C,v21非國考逐題詳解
M114 呼吸系統區段考,3,校內考古題,呼吸組織,A,v21非國考逐題詳解
M114 呼吸系統區段考,4,校內考古題,呼吸組織,C,v21非國考逐題詳解
M114 呼吸系統區段考,5,校內考古題,呼吸解剖,A,v21非國考逐題詳解
M114 呼吸系統區段考,6,校內考古題,呼吸解剖,D,v21非國考逐題詳解
M114 呼吸系統區段考,7,校內考古題,呼吸解剖,B,v21非國考逐題詳解
M114 呼吸系統區段考,8,校內考古題,呼吸解剖,D,v21非國考逐題詳解
M114 呼吸系統區段考,9,校內考古題,呼吸解剖,B,v21非國考逐題詳解
M114 呼吸系統區段考,10,校內考古題,呼吸解剖,D,v21非國考逐題詳解
M114 呼吸系統區段考,11,校內考古題,呼吸解剖,D,v21非國考逐題詳解
M114 呼吸系統區段考,12,校內考古題,呼吸解剖,A,v21非國考逐題詳解
M114 呼吸系統區段考,13,校內考古題,呼吸胚胎,D,v21非國考逐題詳解
M114 呼吸系統區段考,15,校內考古題,呼吸生理,B,v21非國考逐題詳解
M114 呼吸系統區段考,16,校內考古題,呼吸胚胎,A,v21非國考逐題詳解
M114 呼吸系統區段考,17,校內考古題,呼吸生理,D,v21非國考逐題詳解
M114 呼吸系統區段考,18,校內考古題,其他,C,v21非國考逐題詳解
M114 呼吸系統區段考,19,校內考古題,呼吸生理,D,v21非國考逐題詳解
M114 呼吸系統區段考,20,校內考古題,呼吸生理,A,v21非國考逐題詳解
M114 呼吸系統區段考,21,校內考古題,呼吸生理,A,v21非國考逐題詳解
M114 呼吸系統區段考,22,校內考古題,呼吸生理,E,v21非國考逐題詳解
M114 呼吸系統區段考,23,校內考古題,呼吸生理,C,v21非國考逐題詳解
M114 呼吸系統區段考,24,校內考古題,呼吸生理,C,v21非國考逐題詳解
M114 呼吸系統區段考,25,校內考古題,其他,B,v21非國考逐題詳解
M114 呼吸系統區段考,26,校內考古題,其他,A,v21非國考逐題詳解
M114 呼吸系統區段考,27,校內考古題,呼吸生理,D,v21非國考逐題詳解
M114 呼吸系統區段考,28,校內考古題,呼吸解剖,A,v21非國考逐題詳解
M114 呼吸系統區段考,29,校內考古題,呼吸生理,B,v21非國考逐題詳解
M114 呼吸系統區段考,30,校內考古題,呼吸病理,C,v21非國考逐題詳解
M114 呼吸系統區段考,31,校內考古題,呼吸病理,D,v21非國考逐題詳解
M114 呼吸系統區段考,32,校內考古題,呼吸生理,B,v21非國考逐題詳解
M114 呼吸系統區段考,33,校內考古題,其他,D,v21非國考逐題詳解
M114 呼吸系統區段考,34,校內考古題,呼吸病理,A,v21非國考逐題詳解
M114 呼吸系統區段考,35,校內考古題,呼吸病理,D,v21非國考逐題詳解
M114 呼吸系統區段考,36,校內考古題,呼吸病理,D,v21非國考逐題詳解
M114 呼吸系統區段考,37,校內考古題,呼吸病理,D,v21非國考逐題詳解
M114 呼吸系統區段考,38,校內考古題,呼吸病理,D,v21非國考逐題詳解
M114 呼吸系統區段考,39,校內考古題,其他,A,v21非國考逐題詳解
M114 呼吸系統區段考,40,校內考古題,呼吸組織,D,v21非國考逐題詳解
M115 呼吸系統區段考,1,校內考古題,呼吸解剖,A,v21非國考逐題詳解
M115 呼吸系統區段考,2,校內考古題,呼吸解剖,B,v21非國考逐題詳解
M115 呼吸系統區段考,3,校內考古題,呼吸解剖,B,v21非國考逐題詳解
M115 呼吸系統區段考,4,校內考古題,呼吸解剖,D,v21非國考逐題詳解
M115 呼吸系統區段考,5,校內考古題,呼吸解剖,B,v21非國考逐題詳解
M115 呼吸系統區段考,6,校內考古題,其他,A,v21非國考逐題詳解
M115 呼吸系統區段考,7,校內考古題,呼吸解剖,B,v21非國考逐題詳解
M115 呼吸系統區段考,8,校內考古題,呼吸解剖,A,v21非國考逐題詳解
M115 呼吸系統區段考,9,校內考古題,呼吸組織,B,v21非國考逐題詳解
M115 呼吸系統區段考,10,校內考古題,呼吸組織,C,v21非國考逐題詳解
M115 呼吸系統區段考,11,校內考古題,呼吸組織,A,v21非國考逐題詳解
M115 呼吸系統區段考,12,校內考古題,呼吸組織,C,v21非國考逐題詳解
M115 呼吸系統區段考,13,校內考古題,呼吸解剖,D,v21非國考逐題詳解
M115 呼吸系統區段考,14,校內考古題,呼吸解剖,A,v21非國考逐題詳解
M115 呼吸系統區段考,15,校內考古題,呼吸胚胎,C,v21非國考逐題詳解
M115 呼吸系統區段考,16,校內考古題,呼吸胚胎,D,v21非國考逐題詳解
M115 呼吸系統區段考,17,校內考古題,其他,D,v21非國考逐題詳解
M115 呼吸系統區段考,18,校內考古題,其他,A,v21非國考逐題詳解
M115 呼吸系統區段考,19,校內考古題,呼吸生理,E,v21非國考逐題詳解
M115 呼吸系統區段考,20,校內考古題,其他,B,v21非國考逐題詳解
M115 呼吸系統區段考,21,校內考古題,呼吸解剖,C,v21非國考逐題詳解
M115 呼吸系統區段考,22,校內考古題,其他,A,v21非國考逐題詳解
M115 呼吸系統區段考,23,校內考古題,呼吸生理,C,v21非國考逐題詳解
M115 呼吸系統區段考,24,校內考古題,呼吸生理,D,v21非國考逐題詳解
M115 呼吸系統區段考,25,校內考古題,呼吸生理,B,v21非國考逐題詳解
M115 呼吸系統區段考,26,校內考古題,呼吸生理,D,v21非國考逐題詳解
M115 呼吸系統區段考,27,校內考古題,呼吸生理,B,v21非國考逐題詳解
M115 呼吸系統區段考,28,校內考古題,其他,C,v21非國考逐題詳解
M115 呼吸系統區段考,29,校內考古題,呼吸生理,B,v21非國考逐題詳解
M115 呼吸系統區段考,30,校內考古題,呼吸病理,C,v21非國考逐題詳解
M115 呼吸系統區段考,31,校內考古題,其他,D,v21非國考逐題詳解
M115 呼吸系統區段考,32,校內考古題,呼吸病理,C,v21非國考逐題詳解
M115 呼吸系統區段考,33,校內考古題,呼吸病理,B,v21非國考逐題詳解
M115 呼吸系統區段考,34,校內考古題,呼吸病理,D,v21非國考逐題詳解
M115 呼吸系統區段考,35,校內考古題,其他,C,v21非國考逐題詳解
M115 呼吸系統區段考,36,校內考古題,呼吸病理,D,v21非國考逐題詳解
M115 呼吸系統區段考,37,校內考古題,呼吸病理,C,v21非國考逐題詳解
