source,number,status,image,note
M114 呼吸系統區段考,17,圖片已收錄,assets/M114_Q17_Davenport.jpg,Davenport diagram 題，已放入原始考古頁面截圖。
M114 呼吸系統區段考,18,圖片已收錄,assets/M114_Q18_Davenport.jpg,與第17題共用 Davenport diagram，已放入原始考古頁面截圖。
M114 呼吸系統區段考,29,圖片已收錄,assets/M114_Q29_OxygenCurve.jpg,oxygen equilibrium curve / two-compartment model 圖題，已放入原始考古頁面截圖。
M115 呼吸系統區段考,19,圖片已收錄,assets/M115_Q19_Davenport.jpg,Davenport diagram 題，已放入原始考古頁面截圖。
M115 呼吸系統區段考,20,圖片已收錄,assets/M115_Q20_Davenport.jpg,與第19題共用 Davenport diagram，已放入原始考古頁面截圖。
M115 呼吸系統區段考,27,圖片已收錄,assets/M115_Q27_OxygenCurve.jpg,oxygen equilibrium curve 圖題，已放入原始考古頁面截圖。
M116 呼吸系統區段考,28,圖片已收錄,assets/M116_Q28_Davenport.jpg,Davenport diagram 題，已放入原始考古頁面截圖。
M116 呼吸系統區段考,29,圖片已收錄,assets/M116_Q29_Davenport.jpg,與第28題共用 Davenport diagram，已放入原始考古頁面截圖。
M112 呼吸系統區段考,17,非圖片題,,原答案為 X，網站無法判分；修正為 D。
M112 呼吸系統區段考,19,圖片已收錄,assets/M112_Q19_OxygenCurve.jpg,oxygen equilibrium curve 圖題，已放入原始考古頁面截圖。
M112 呼吸系統區段考,21,圖片已收錄,assets/M112_Q21_Davenport.jpg,Davenport diagram 題，已放入原始考古頁面截圖。
M112 呼吸系統區段考,22,圖片已收錄,assets/M112_Q22_Davenport.jpg,與第21題共用 Davenport diagram，已放入原始考古頁面截圖。
